2016-09-09 00:00:03 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_2, localip=10.66.153.186, recvtime=2016-09-09 00:00:01, lastingtime=0d 5h 57m 19s, hostname=bpcw02]
 2016-09-09 00:00:03 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_1, localip=10.66.153.186, recvtime=2016-09-09 00:00:03, lastingtime=0d 6h 6m 35s, hostname=bpcw02]
 2016-09-09 00:00:08 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_2, localip=10.66.153.186, recvtime=2016-09-09 00:00:06, lastingtime=0d 5h 57m 24s, hostname=bpcw02]
 2016-09-09 00:00:08 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_1, localip=10.66.153.186, recvtime=2016-09-09 00:00:08, lastingtime=0d 6h 6m 40s, hostname=bpcw02]
 2016-09-09 00:00:13 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_2, localip=10.66.153.186, recvtime=2016-09-09 00:00:11, lastingtime=0d 5h 57m 29s, hostname=bpcw02]
 2016-09-09 00:00:13 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_1, localip=10.66.153.186, recvtime=2016-09-09 00:00:13, lastingtime=0d 6h 6m 45s, hostname=bpcw02]
 2016-09-09 00:00:18 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_2, localip=10.66.153.186, recvtime=2016-09-09 00:00:16, lastingtime=0d 5h 57m 34s, hostname=bpcw02]
 2016-09-09 00:00:18 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_1, localip=10.66.153.186, recvtime=2016-09-09 00:00:18, lastingtime=0d 6h 6m 50s, hostname=bpcw02]
 2016-09-09 00:00:23 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_2, localip=10.66.153.186, recvtime=2016-09-09 00:00:21, lastingtime=0d 5h 57m 39s, hostname=bpcw02]
 2016-09-09 00:00:23 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_1, localip=10.66.153.186, recvtime=2016-09-09 00:00:23, lastingtime=0d 6h 6m 55s, hostname=bpcw02]
 2016-09-09 00:00:28 Thread-3 Monitor INFO HeartBeatObj [softwareid=client_2, localip=10.66.153.186, recvtime=2016-09-09 00:00:26, lastingtime=0d 5h 57m 45s, hostname=bpcw02]
